trial,start_time,rt,correct,fact_id,question,answer,category,True alpha,alpha backward-adjusted
1,9503.097300002992,2999.3816999995033,True,1,hello,bonjour,other,0.35,0.35
2,16747.30350000027,1939.2594000019017,True,1,hello,bonjour,other,0.35,0.35
3,21178.950400004396,2067.359699998633,True,2,dog,chien,animal,0.25,0.25
4,25061.36890000198,1272.7500999972108,True,3,cat,chat,animal,0.25,0.25
5,28088.737300000503,993.6702000049991,True,4,computer,ordinateur,object,0.4,0.4
6,32897.64190000278,1048.4377999964636,True,2,dog,chien,animal,0.25,0.25
7,35644.28410000255,1125.8002999966266,True,4,computer,ordinateur,object,0.4,0.4
8,40339.35650000058,1766.8210999981966,True,3,cat,chat,animal,0.25,0.25
9,43722.09280000243,1192.040800000541,True,1,hello,bonjour,other,0.300390625,0.3251953125
10,47227.05560000031,inf,True,4,computer,ordinateur,object,0.449609375,0.4248046875
11,52290.09750000114,1688.1849999990663,True,5,house,maison,object,0.4,0.406201171875
12,56043.30010000558,1002.9130999973859,True,6,car,voiture,object,0.4,0.406201171875
13,60383.47920000524,1054.557899995416,True,5,house,maison,object,0.4,0.406201171875
14,63556.243999999424,1162.0309999998426,False,6,car,voiture,object,0.4,0.406201171875
15,66751.33040000219,1070.842300003278,True,4,computer,ordinateur,object,0.4,0.393798828125
16,70958.52900000318,943.5481999971671,True,5,house,maison,object,0.35039062500000007,0.3782958984375
17,74028.95040000294,1265.3170999983558,False,6,car,voiture,object,0.449609375,0.4217041015625
18,77994.40460000187,1395.8244000023114,True,7,fish,poisson,animal,0.25,0.25
19,83762.36490000156,883.8546999977552,True,8,bottle,bouteille,object,0.4,0.4
20,87109.84680000547,1056.5442999941297,True,7,fish,poisson,animal,0.25,0.25
21,90584.55400000094,4569.5618000027025,True,8,bottle,bouteille,object,0.4,0.4
22,97413.93800000515,1052.2368999954779,True,6,car,voiture,object,0.44921875,0.41065673828125
23,100616.64390000078,1809.5855999999912,True,8,bottle,bouteille,object,0.39960937500000004,0.399755859375

